seed,regime,variant,split,n,auc,ap,eer,tpr_at_fpr01,tpr_at_fpr05,tpr_at_fpr10
0,ff_only,backbone_only,ff_test,600,0.72458,0.9197309962390935,0.33199999999999996,0.022,0.264,0.396
0,ff_only,backbone_only,celebdf_test,1306,0.5605880910560318,0.8856204164799633,0.45096655707515776,0.008857395925597875,0.06111603188662533,0.1629760850310009
0,ff_only,backbone_only,dfdc_test,77,0.5611570247933885,0.7895581669333331,0.4545454545454546,0.03636363636363636,0.21818181818181817,0.3090909090909091
0,ff_only,backbone+rppg,ff_test,600,0.72062,0.9219921851077042,0.33199999999999996,0.062,0.188,0.42
0,ff_only,backbone+rppg,celebdf_test,1306,0.5602377985617991,0.8850346859910172,0.4577772439987389,0.0141718334809566,0.06111603188662533,0.13994685562444642
0,ff_only,backbone+rppg,dfdc_test,77,0.5454545454545454,0.776782613876511,0.4636363636363636,0.03636363636363636,0.18181818181818182,0.21818181818181817
0,ff_only,backbone+blink,ff_test,600,0.71992,0.920094833375275,0.35,0.032,0.244,0.394
0,ff_only,backbone+blink,celebdf_test,1306,0.5610785005479575,0.885622432526834,0.44637021913297603,0.008857395925597875,0.06111603188662533,0.15677590788308238
0,ff_only,backbone+blink,dfdc_test,77,0.5578512396694215,0.78891723932039,0.4545454545454546,0.03636363636363636,0.23636363636363636,0.3090909090909091
0,ff_only,full_fusion,ff_test,600,0.72274,0.9224758909199341,0.32999999999999996,0.07,0.21,0.426
0,ff_only,full_fusion,celebdf_test,1306,0.5601827525984197,0.885025988252371,0.4577772439987389,0.0141718334809566,0.06111603188662533,0.13994685562444642
0,ff_only,full_fusion,dfdc_test,77,0.5454545454545454,0.776782613876511,0.4636363636363636,0.03636363636363636,0.18181818181818182,0.21818181818181817
0,mixed,backbone_only,ff_test,600,0.73304,0.9221468934582808,0.30900000000000005,0.058,0.266,0.36
0,mixed,backbone_only,celebdf_test,1306,0.610990176797626,0.9022471120514302,0.4235561694014502,0.010628875110717449,0.11071744906997343,0.18954827280779452
0,mixed,backbone_only,dfdc_test,77,0.5925619834710744,0.8194692285358001,0.44545454545454544,0.16363636363636364,0.21818181818181817,0.4
0,mixed,backbone+rppg,ff_test,600,0.72654,0.923518662429633,0.33899999999999997,0.046,0.218,0.36
0,mixed,backbone+rppg,celebdf_test,1306,0.6031836583547262,0.901660182098039,0.4235561694014502,0.01682905225863596,0.08768821966341896,0.21612046058458814
0,mixed,backbone+rppg,dfdc_test,77,0.5553719008264463,0.8075086336534161,0.4636363636363636,0.16363636363636364,0.21818181818181817,0.34545454545454546
0,mixed,backbone+blink,ff_test,600,0.72834,0.9218260324376693,0.31799999999999995,0.07,0.234,0.366
0,mixed,backbone+blink,celebdf_test,1306,0.6132320487607152,0.9033651581796099,0.41718835227414885,0.011514614703277236,0.112488928255093,0.20726306465899025
0,mixed,backbone+blink,dfdc_test,77,0.5867768595041323,0.8176954942725903,0.4545454545454546,0.14545454545454545,0.2545454545454545,0.38181818181818183
0,mixed,full_fusion,ff_test,600,0.73134,0.9250332673851452,0.32999999999999996,0.066,0.252,0.386
0,mixed,full_fusion,celebdf_test,1306,0.6029634745012085,0.9016540043934612,0.4235561694014502,0.01682905225863596,0.08680248007085917,0.21612046058458814
0,mixed,full_fusion,dfdc_test,77,0.556198347107438,0.8078412278884493,0.4545454545454546,0.16363636363636364,0.21818181818181817,0.34545454545454546
1,ff_only,backbone_only,ff_test,600,0.72288,0.9191405814174233,0.352,0.026,0.26,0.392
1,ff_only,backbone_only,celebdf_test,1306,0.5578483033332833,0.8852819145160864,0.4527380362602773,0.008857395925597875,0.05934455270150576,0.141718334809566
1,ff_only,backbone_only,dfdc_test,77,0.5495867768595041,0.7858247311215456,0.4545454545454546,0.03636363636363636,0.21818181818181817,0.3090909090909091
1,ff_only,backbone+rppg,ff_test,600,0.71202,0.919600637901157,0.351,0.06,0.2,0.382
1,ff_only,backbone+rppg,celebdf_test,1306,0.5603979322734484,0.885597961922175,0.44637021913297603,0.012400354295837024,0.06908768821966342,0.1195748449955713
1,ff_only,backbone+rppg,dfdc_test,77,0.5388429752066116,0.7789333384025343,0.4545454545454546,0.03636363636363636,0.2,0.2727272727272727
1,ff_only,backbone+blink,ff_test,600,0.71932,0.9201747776763645,0.359,0.032,0.26,0.388
1,ff_only,backbone+blink,celebdf_test,1306,0.5588766620127806,0.8856098948497505,0.45185229666771753,0.008857395925597875,0.06111603188662533,0.14437555358724535
1,ff_only,backbone+blink,dfdc_test,77,0.5421487603305785,0.7823677562291808,0.4545454545454546,0.03636363636363636,0.2,0.32727272727272727
1,ff_only,full_fusion,ff_test,600,0.71334,0.9202681894857286,0.36,0.064,0.202,0.386
1,ff_only,full_fusion,celebdf_test,1306,0.5603979322734484,0.8855365613050348,0.44637021913297603,0.012400354295837024,0.06908768821966342,0.1195748449955713
1,ff_only,full_fusion,dfdc_test,77,0.5388429752066116,0.7776666617714074,0.4545454545454546,0.03636363636363636,0.2,0.23636363636363636
1,mixed,backbone_only,ff_test,600,0.73408,0.9217006330773392,0.31999999999999995,0.05,0.276,0.34
1,mixed,backbone_only,celebdf_test,1306,0.6247216425715473,0.9064060436129425,0.4125920143319672,0.00974313551815766,0.10628875110717449,0.2108060230292294
1,mixed,backbone_only,dfdc_test,77,0.6066115702479339,0.8276546023043054,0.4545454545454546,0.16363636363636364,0.2909090909090909,0.34545454545454546
1,mixed,backbone+rppg,ff_test,600,0.72868,0.9227572779862978,0.31999999999999995,0.038,0.238,0.378
1,mixed,backbone+rppg,celebdf_test,1306,0.6166499026687284,0.9054999554556349,0.4011849894662043,0.013286093888396812,0.1408325952170062,0.21612046058458814
1,mixed,backbone+rppg,dfdc_test,77,0.5677685950413223,0.8090032698536929,0.4636363636363636,0.12727272727272726,0.23636363636363636,0.36363636363636365
1,mixed,backbone+blink,ff_test,600,0.72776,0.9213822522760281,0.32999999999999996,0.058,0.262,0.354
1,mixed,backbone+blink,celebdf_test,1306,0.6077549754044628,0.9020304434366004,0.4125920143319672,0.007971656333038087,0.10717449069973428,0.1886625332152347
1,mixed,backbone+blink,dfdc_test,77,0.5727272727272728,0.8105100573532895,0.4545454545454546,0.12727272727272726,0.23636363636363636,0.36363636363636365
1,mixed,full_fusion,ff_test,600,0.73386,0.9243440359181381,0.31999999999999995,0.058,0.262,0.386
1,mixed,full_fusion,celebdf_test,1306,0.6165398107419695,0.905454678158465,0.4011849894662043,0.013286093888396812,0.13994685562444642,0.21612046058458814
1,mixed,full_fusion,dfdc_test,77,0.5685950413223141,0.8093854702358934,0.4636363636363636,0.12727272727272726,0.23636363636363636,0.36363636363636365
42,ff_only,backbone_only,ff_test,600,0.72536,0.9210595353623643,0.33199999999999996,0.034,0.266,0.394
42,ff_only,backbone_only,celebdf_test,1306,0.5599925938158362,0.886089626256028,0.44637021913297603,0.00974313551815766,0.06023029229406555,0.17094774136403898
42,ff_only,backbone_only,dfdc_test,77,0.5586776859504132,0.7869661574207678,0.4545454545454546,0.03636363636363636,0.2,0.3090909090909091
42,ff_only,backbone+rppg,ff_test,600,0.7213,0.9229724631684778,0.33099999999999996,0.06,0.2,0.404
42,ff_only,backbone+rppg,celebdf_test,1306,0.5641010243553367,0.8866177705248959,0.44637021913297603,0.012400354295837024,0.06820194862710363,0.13994685562444642
42,ff_only,backbone+rppg,dfdc_test,77,0.5578512396694215,0.7853808212866171,0.4545454545454546,0.03636363636363636,0.2,0.2909090909090909
42,ff_only,backbone+blink,ff_test,600,0.7237,0.921766666411497,0.34099999999999997,0.036,0.264,0.388
42,ff_only,backbone+blink,celebdf_test,1306,0.5607357143214584,0.886253424938894,0.44637021913297603,0.010628875110717449,0.06023029229406555,0.1629760850310009
42,ff_only,backbone+blink,dfdc_test,77,0.556198347107438,0.7855407893143691,0.4545454545454546,0.03636363636363636,0.2,0.3090909090909091
42,ff_only,full_fusion,ff_test,600,0.72036,0.9231287411518818,0.33199999999999996,0.064,0.198,0.408
42,ff_only,full_fusion,celebdf_test,1306,0.5641210410692928,0.88667561240818,0.44637021913297603,0.012400354295837024,0.06908768821966342,0.13994685562444642
42,ff_only,full_fusion,dfdc_test,77,0.5578512396694215,0.7853885844915636,0.4545454545454546,0.03636363636363636,0.2,0.2909090909090909
42,mixed,backbone_only,ff_test,600,0.7337,0.9226217866043106,0.32899999999999996,0.048,0.278,0.338
42,mixed,backbone_only,celebdf_test,1306,0.6157041129343002,0.9044552223014644,0.41718835227414885,0.012400354295837024,0.112488928255093,0.20903454384410983
42,mixed,backbone_only,dfdc_test,77,0.5892561983471074,0.8176092864708365,0.44545454545454544,0.14545454545454545,0.23636363636363636,0.38181818181818183
